FI;GRP;RS;FI_ET;RS_ET;BOR;AN
590799995;06;SANTELYS ASSOCIATION;590024659;UNITE D'AUTODIALYSE SANTELYS ROUBAIX DELORY;ST;2013
590799995;06;SANTELYS ASSOCIATION;590031738;CENTRE D'AUTODIALYSE SANTELYS LOOS;ST;2013
590799995;06;SANTELYS ASSOCIATION;590035200;CTRE AUTODIALYSE SANTÉLYS FACHES-THUM;ST;2013
590799995;06;SANTELYS ASSOCIATION;590040317;CENTRE D'AUTODIALYSE SANTÉLYS D'IWUY;ST;2013
590799995;06;SANTELYS ASSOCIATION;590040325;CTRE D'AUTODIALYSE SANTÉLYS LA BASSÉE;ST;2013
590799995;06;SANTELYS ASSOCIATION;590044640;CENTRE D'AUTODIALYSE DE LILLE;ST;2013
590799995;06;SANTELYS ASSOCIATION;590045514;CENTRE D'AUTODIALYSE SANTELYS TOURCOING;ST;2013
590799995;06;SANTELYS ASSOCIATION;590045951;UNITE DE DIALYSE DE MERIGNIES;ST;2013
590799995;06;SANTELYS ASSOCIATION;590046751;CENTRE D'AUTODIALYSE DE DOURLERS;ST;2013
590799995;06;SANTELYS ASSOCIATION;590046769;CENTRE D'AUTODIALYSE DE HOUPLINES;ST;2013
590799995;06;SANTELYS ASSOCIATION;590047361;UNITE D'AUTODIALYSE FLERS/ESCREBIEUX;ST;2013
590799995;06;SANTELYS ASSOCIATION;590047866;UNITE D'AUTODIALYSE DE GRAVELINES;ST;2013
590799995;06;SANTELYS ASSOCIATION;590047874;UNITÉ DE DIALYSE MÉDICALISÉE PROVILLE;ST;2013
590799995;06;SANTELYS ASSOCIATION;590784914;CTRE DIALYSE DOMICILE;ST;2013
590799995;06;SANTELYS ASSOCIATION;590813341;SERVICE D'AUTODIALYSE MONS EN BL;ST;2013
590799995;06;SANTELYS ASSOCIATION;600002067;CENTRE D AUTODIALYSE SENLIS;ST;2013
590799995;06;SANTELYS ASSOCIATION;600008734;CENTRE D AUTODIALYSE FLEURINES;ST;2013
590799995;06;SANTELYS ASSOCIATION;600109748;CENTRE D AUTODIALYSE BEAUVAIS;ST;2013
590799995;06;SANTELYS ASSOCIATION;620010058;CENTRE D'AUTODIALYSE DE COQUELLES;ST;2013
590799995;06;SANTELYS ASSOCIATION;620011338;UNITE D'AUTODIALYSE BERCK 2;ST;2013
590799995;06;SANTELYS ASSOCIATION;620026997;UNITE D'AUTODIALYSE DE ST LEONARD;ST;2013
590799995;06;SANTELYS ASSOCIATION;800010159;CENTRE D AUTODIALYSE CORBIE;ST;2013
590799995;06;SANTELYS ASSOCIATION;800010324;CENTRE D AUTODIALYSE AMIENS;ST;2013
600002109;08;SCP DOC CIUPA GAY ET PELLAE COSSET;600002158;CTRE RADIOTHERAPIE ONCOLOGIE MEDICALE;ST;2013
600006258;02;GCS UNICCIC;600006308;GCS UNICCIC - IMPLANTATION;ST;2013
600010201;06;SARL LA DIALOISE;600110399;CENTRE D AUTODIALYSE NOYON;ST;2013
600010201;06;SARL LA DIALOISE;600112460;CENTRE D AUTODIALYSE COMPIEGNE;ST;2013
600100028;02;CENTRE HOSPITALIER INTERDÉPARTEMENTAL;600000012;CHS CHI CLERMONT;ST;2013
600100085;02;HOPITAL LOCAL DE CRÉPY-EN-VALOIS;600000020;HOPITAL CRÉPY-EN-VALOIS;ST;2013
600100127;02;CENTRE HOSPITALIER GEORGES DECROZE;600000046;CH PONT-SAINTE-MAXENCE;ST;2013
600100572;02;CENTRE HOSPITALIER BERTINOT JUEL;600000152;CH CHAUMONT-EN-VEXIN;ST;2013
600100580;02;HÔPITAL LOCAL DE CRÈVECOEUR-LE-GRAND;600010094;SSR HL CRÈVECOEUR-LE-GRAND;ST;2013
600100648;02;CENTRE HOSPITALIER DE CLERMONT;600000186;CH CLERMONT;ST;2013
600100713;02;CENTRE HOSPITALIER DE BEAUVAIS;600000194;CH BEAUVAIS;ST;2013
600100713;02;CENTRE HOSPITALIER DE BEAUVAIS;600107494;USLD CH BEAUVAIS;ST;2013
600100721;02;CH INTERCOMMUNAL COMPIÈGNE-NOYON;600000285;CH CHICN NOYON;ST;2013
600100721;02;CH INTERCOMMUNAL COMPIÈGNE-NOYON;600010102;HAD CHICN COMPIÈGNE;ST;2013
600100721;02;CH INTERCOMMUNAL COMPIÈGNE-NOYON;600107668;USLD CHICN COMPIÈGNE;ST;2013
600100721;02;CH INTERCOMMUNAL COMPIÈGNE-NOYON;600113476;CH CHICN COMPIÈGNE;ST;2013
600101984;02;GHPSO;600000053;CH GHPSO SENLIS;ST;2013
600101984;02;GHPSO;600000467;CH GHPSO CREIL;ST;2013
600108948;02;HÔPITAL LOCAL DE GRANDVILLIERS;600001184;USLD HL GRANDVILLIERS;ST;2013
610780025;02;CENTRE PSYCHOTHERAPIQUE DE L'ORNE;610000028;CENTRE PSYCHOTHERAPIQUE DE L'ORNE;ST;2013
610780074;02;CENTRE HOSPITALIER DE L'AIGLE;610000044;CENTRE HOSPITALIER DE L'AIGLE;ST;2013
610780082;02;C.H.I.C - ALENCON-MAMERS;610000051;C.H.I.C ALENCON - MAMERS;ST;2013
610780082;02;C.H.I.C - ALENCON-MAMERS;610784050;USLD -LES PASTELS- - CH ALENCON;ST;2013
610780082;02;C.H.I.C - ALENCON-MAMERS;720000470;CENTRE HOSPITALIER MAMERS;ST;2013
610780090;02;CENTRE HOSPITALIER - ARGENTAN;610000069;CENTRE HOSPITALIER D'ARGENTAN;ST;2013
610780124;02;CH MARGUERITE DE LORRAINE-MORTAGNE;610000077;CH MARGUERITE DE LORRAINE-MORTAGNE;ST;2013
610780132;02;HOPITAL LOCAL - BELLEME;610000085;HOPITAL LOCAL - BELLEME;ST;2013
610780140;02;HOPITAL LOCAL - SEES;610000093;HOPITAL - SEES;ST;2013
610780157;02;HOPITAL LOCAL - VIMOUTIERS;610000101;HOPITAL LOCAL - VIMOUTIERS;ST;2013
610780165;02;CH -JACQUES MONOD- - FLERS;610000119;CH -JACQUES MONOD- - FLERS;ST;2013
610780165;02;CH -JACQUES MONOD- - FLERS;610788325;CENTRE MAUBERT (61G03) - CH FLERS;ST;2013
610790594;02;CH INTERCOMMUNAL DES ANDAINES;610780108;CH INTERCOMMUNAL DES ANDAINES;ST;2013
610790594;02;CH INTERCOMMUNAL DES ANDAINES;610780116;CH INTERCOMMUNAL DES ANDAINES;ST;2013
620002352;06;SAS SAPROMED;620024208;CLINIQUE NEPHROLOGIQUE DE L'AUDOMAROIS;ST;2013
620003269;08;SAS ARTHERAD;620009738;CENTRE PIERRE CURIE ARTHERAD BEUVRY;ST;2013
620004515;08;SCP RADIOLOGIE ET IMAGERIE MEDICALE;620008698;CENTRE DE RADIOTHERAPIE ET D'ONCOLOGIE MARIE CURIE;ST;2013
620100057;02;CH ARRAS;620000034;CH ARRAS;ST;2013
620100057;02;CH ARRAS;620018143;CENTRE DE SOINS PSY  LA PARENTHESE;ST;2013
620100057;02;CH ARRAS;620111195;USLD CH ARRAS;ST;2013
620100057;02;CH ARRAS;620112656;MAISON DE REPOS MAROEUIL - CH ARRAS;ST;2013
620100073;02;CH BAPAUME;620000059;CH BAPAUME;ST;2013
620100081;02;CENTRE HOSPITALIER DU TERNOIS;620000067;CENTRE HOSPITALIER DU TERNOIS;ST;2013
620100081;02;CENTRE HOSPITALIER DU TERNOIS;620105957;USLD DU CH DU TERNOIS;ST;2013
620100461;02;CH D'HESDIN;620000117;CH D'HESDIN;ST;2013
620100461;02;CH D'HESDIN;620019380;CH D'HESDIN;ST;2013
620100651;02;CH BETHUNE;620000224;CH BETHUNE;ST;2013
620100669;02;CH CARVIN;620000232;CH CARVIN;ST;2013
620100677;02;CH HENIN BEAUMONT;620000240;CH HENIN BEAUMONT;ST;2013
620100685;02;CH DR.SCHAFFNER DE LENS;620000257;CH LENS;ST;2013
620100685;02;CH DR.SCHAFFNER DE LENS;620003475;CTRE TRAITEMENT DEPENDANCES CH LENS;ST;2013
620101287;02;EPSM VAL DE LYS ARTOIS;620000281;EPSM VAL DE LYS ARTOIS;ST;2013
620101295;02;CH AIRE SUR LA LYS;620000299;CH AIRE SUR LA LYS;ST;2013
620101337;02;CH CALAIS;620000323;CH CALAIS;ST;2013
620101360;02;CH REGION DE ST-OMER;620000349;CH REGION DE ST OMER;ST;2013
620103432;02;CENTRE HOSP DE L'ARR DE MONTREUIL;620003202;CH ARROND DE MONTREUIL;ST;2013
620103432;02;CENTRE HOSP DE L'ARR DE MONTREUIL;620108357;USLD MONTREUIL CH. ARROND DE MONTREUIL;ST;2013
620103440;02;CH BOULOGNE-SUR-MER;620000653;CH BOULOGNE-SUR-MER;ST;2013
620103440;02;CH BOULOGNE-SUR-MER;620102053;CTRE SOINS SUITE CH BOULOGNE-SUR-MER;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;590008306;CENTRE D'AUTODIALYSE ADH DE SOMAIN;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;590035390;CTRE D'AUTODIALYSE ADH DE LAMBERSART;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;590041471;CTRE AUTODIALYSE ADH BRUAY-SUR-ESCAUT;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;590046579;CENTRE D'AUTODIALYSE MARLY;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;590806428;CTRE D'AUTODIALYSE ADH DE DOUAI;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;590810099;CENTRE D'AUTODIALYSE ADH DE CAMBRAI;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;590815007;CTRE D'AUTODIALYSE ADH LA SENTINELLE;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620018705;CTRE DE DIALYSE A DOMICILE ADH HENIN B;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620020636;CTRE D'AUTODIALYSE ADH DE ST-POL;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620025494;CTRE AUTODIALYSE & UNITE DIALY MED ADH;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620115170;CTRE D'AUTODIALYSE ST-NICOLAS;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620115410;CENTRE D'AUTODIALYSE ADH DE LENS;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620117309;CTRE D'AUTODIALYSE ADH HÉNIN-BEAUMONT;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620117325;CENTRE D'AUTODIALYSE ADH DE BRUAY;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620117812;CTRE D'AUTODIALYSE ADH DE LIEVIN;ST;2013
620112581;06;ASS POUR LE DEVEL HEMODIALYSE;620120063;CENTRE AUTODIALYSE AIRE/LA LYS;ST;2013
620112607;02;INSTITUT A CALMETTE CAMIERS;620002154;INSTITUT ALBERT CALMETTE A CAMIERS;ST;2013
630000990;06;AURA AUVERGNE;030003669;UNITE DE DIALYSE DE MONTLUCON;ST;2013
630000990;06;AURA AUVERGNE;030003719;UNITE DE DIALYSE DE MOULINS;ST;2013
630000990;06;AURA AUVERGNE;030003768;UNITE DE DIALYSE DE VICHY;ST;2013
630000990;06;AURA AUVERGNE;150001758;UNITE DE DIALYSE DE SAINT-FLOUR;ST;2013
630000990;06;AURA AUVERGNE;430004309;UNITE DE DIALYSE DE BRIOUDE;ST;2013
630000990;06;AURA AUVERGNE;430004358;UNITE DE DIALYSE DU PUY;ST;2013
630000990;06;AURA AUVERGNE;430004408;UNITE DE DIALYSE D'YSSINGEAUX;ST;2013
630000990;06;AURA AUVERGNE;580004588;AURA AUVERGNE DIALYSE NEVERS;ST;2013
630000990;06;AURA AUVERGNE;580004638;AURA  AUVERGNE DECIZE;ST;2013
630000990;06;AURA AUVERGNE;630005668;CTRE D'HÉMODIALYSE AURA ARCHE;ST;2013
630000990;06;AURA AUVERGNE;630007698;UNITE DE DIALYSE D'AMBERT;ST;2013
630000990;06;AURA AUVERGNE;630007748;UNITE DE DIALYSE D'ISSOIRE;ST;2013
630000990;06;AURA AUVERGNE;630007789;UNITE DE DIALYSE DU MONT-DORE;ST;2013
630000990;06;AURA AUVERGNE;630007839;UNITE DE DIALYSE DE RIOM;ST;2013
630000990;06;AURA AUVERGNE;630007888;UNITE DE DIALYSE DE THIERS;ST;2013
630000990;06;AURA AUVERGNE;630784742;AURA AUVERGNE;ST;2013
630001386;08;SAS RADIOTHERAPIE REPUBLIQUE;630009546;UNITE DE RADIOTHERAPIE;ST;2013
630180032;02;CH DU MONT DORE;630000016;CH DU MONT DORE;ST;2013
630780302;02;CH ETIENNE CLEMENTEL;630000149;CH ETIENNE CLEMENTEL;ST;2013
630780989;02;CH UNIVERSITAIRE;630000404;CHU G. MONTPIED;ST;2013
630780989;02;CH UNIVERSITAIRE;630781268;CHU ESTAING;ST;2013
630780989;02;CH UNIVERSITAIRE;630781771;CHU - CMP;ST;2013
630780989;02;CH UNIVERSITAIRE;630783538;CHU - HOPITAL NORD;ST;2013
630780989;02;CH UNIVERSITAIRE;630787034;CTRE SOINS DE LGUE DUREE CEBAZAT;ST;2013
630780997;02;CENTRE HOSPITALIER AMBERT;630000412;CENTRE HOSPITALIER D'AMBERT;ST;2013
630781003;02;CENTRE HOSPITALIER ISSOIRE PAUL ARDIER;630000420;CENTRE HOSPITALIER ISSOIRE PAUL ARDIER;ST;2013
630781011;02;CENTRE HOSPITALIER DE RIOM;630000438;CENTRE HOSPITALIER DE RIOM;ST;2013
630781029;02;CENTRE HOSPITALIER DE THIERS;630000446;CENTRE HOSPITALIER DE THIERS;ST;2013
630781110;08;CLCC AUVERGNE JEAN PERRIN;630000479;CLCC AUVERGNE JEAN PERRIN;ST;2013
630781367;02;CH BILLOM;630000560;CH BILLOM;ST;2013
640000113;06;SAS CLINIQUE DELAY;400007043;UDM et UAD CLINIQUE DELAY - DAX;ST;2013
640000113;06;SAS CLINIQUE DELAY;400790986;Antenne d'autodialyse CLINIQUE DELAY - PEYREHORADE;ST;2013
640000113;06;SAS CLINIQUE DELAY;640013553;Antenne d'autodialyse CLINIQUE DELAY - ST-JEAN-DE-;ST;2013
640000113;06;SAS CLINIQUE DELAY;640789640;CENTRE d'HEMODIALYSE - CLINIQUE DELAY;ST;2013
640000113;06;SAS CLINIQUE DELAY;640796736;Antenne d'autodialyse CLINIQUE DELAY - BAYONNE;ST;2013
640000113;06;SAS CLINIQUE DELAY;640796835;Antenne d'autodialyse CLINIQUE DELAY - BIARRITZ;ST;2013
640000113;06;SAS CLINIQUE DELAY;640797155;Antenne d'autodialyse CLINIQUE DELAY - ST-JEAN-PIE;ST;2013
640000113;06;SAS CLINIQUE DELAY;640797296;UAD SAINT LEON CLINIQUE DELAY - BAYONNE;ST;2013
640001715;08;CENTRE D'ONCOLOGIE ET DE RADIOTHERAPIE;640787172;CENTRE D'ONCOLOGIE RADIOTHÉRAPIE;ST;2013
640017612;06;CENTRE DE DIALYSE DU BEARN SAS;400011201;Antenne d'autodialyse ASRIR - AIRE SUR L'ADOUR;ST;2013
640017612;06;CENTRE DE DIALYSE DU BEARN SAS;640005336;ANTENNE AUTODIALYSE - ORTHEZ;ST;2013
640017612;06;CENTRE DE DIALYSE DU BEARN SAS;640013520;Antenne d'autodialyse ASRIR - OLORON-SAINTE-MARIE;ST;2013
640017612;06;CENTRE DE DIALYSE DU BEARN SAS;640017679;ANTENNE AUTODIALYSE PAU NAVARRE;ST;2013
640017612;06;CENTRE DE DIALYSE DU BEARN SAS;640781332;CENTRE DE DIALYSE DU BEARN;ST;2013
640017638;02;CENTRE HOSPITALIER DE SAINT-PALAIS;640017646;CENTRE HOSPITALIER DE SAINT-PALAIS;ST;2013
640780417;02;CENTRE HOSPITALIER DE LA COTE BASQUE;640000162;C.H.I.C. COTE BASQUE - BAYONNE;ST;2013
640780417;02;CENTRE HOSPITALIER DE LA COTE BASQUE;640780755;C.H.I.C. COTE BASQUE - ST JEAN DE LUZ;ST;2013
640780417;02;CENTRE HOSPITALIER DE LA COTE BASQUE;640784278;SECT PSYCH BELLEVUE;ST;2013
640780813;02;CENTRE HOSPITALIER D'ORTHEZ;640000402;CENTRE HOSPITALIER D'ORTHEZ;ST;2013
640780821;02;CENTRE HOSPITALIER D'OLORON STE MARIE;640000410;CENTRE HOSPITALIER OLORON;ST;2013
640780821;02;CENTRE HOSPITALIER D'OLORON STE MARIE;640015921;CH D'OLORON - SITE DE SAINT-PE;ST;2013
640780839;02;HOPITAL LOCAL DE MAULEON;640000428;CENTRE HOSPITALIER DE MAULEON;ST;2013
640780862;02;CENTRE HOSPITALIER DES PYRENEES;640000436;CENTRE HOSPITALIER DES PYRENEES;ST;2013
640781290;02;CENTRE HOSPITALIER DE PAU;640000600;CENTRE HOSPITALIER DE PAU;ST;2013
640791976;02;CENTRE GERONTOLOGIQUE;640003836;CENTRE GERONTOLOGIQUE PONTACQ-NAY-JURANCON;ST;2013
640791976;02;CENTRE GERONTOLOGIQUE;640786281;CENTRE GERONTOLOGIQUE PONTACQ-NAY-JURANCON;ST;2013
650780158;02;CENTRE HOSPITALIER LOURDES;650000045;CENTRE HOSPITALIER DE LOURDES;ST;2013
650780166;02;CENTRE HOSPITALIER BAGNERES DE BIGORRE;650000052;CENTRE HOSPITALIER BAGNERES DE BIGORRE;ST;2013
650780174;02;HOPITAUX DE LANNEMEZAN;650000060;CENTRE HOSPITALIER DE LANNEMEZAN;ST;2013
650780174;02;HOPITAUX DE LANNEMEZAN;650784218;CMC HOPITAUX DE LANNEMEZAN;ST;2013
650780190;02;HOPITAL  LE MONTAIGU;650000078;HOPITAL  LE MONTAIGU;ST;2013
650783160;02;CENTRE HOSPITALIER DE BIGORRE;650000417;CENTRE HOSPITALIER DE BIGORRE;ST;2013
650783160;02;CENTRE HOSPITALIER DE BIGORRE;650780141;HOPITAL DE L'AYGUEROTE TARBES;ST;2013
650783160;02;CENTRE HOSPITALIER DE BIGORRE;650780182;HOP JACQUES FOURCADE VIC EN BOGORRE;ST;2013
650789068;08;SCM BEARN BIGORRE;640005393;GROUPE RADIOTHERAPIE ET ONCOLOGIE TARBES-PAU;ST;2013
650789068;08;SCM BEARN BIGORRE;650789308;GROUPE RADIOTHERAPIE ONCOLOGIE PYRENEE;ST;2013
660007238;08;SCP CENTRE CATALAN D'ONCOLOGIE;660007246;CENTRE CATALAN D'ONCOLOGIE ST PIERRE;ST;2013
660780180;02;CH PERPIGNAN;660000084;CENTRE HOSPITALIER SAINT JEAN;ST;2013
660780180;02;CH PERPIGNAN;660008947;PLATE FORME SAMU SDIS 66;ST;2013
660780180;02;CH PERPIGNAN;660781444;USLD LA MISERICORDE CH PERPIGNAN;ST;2013
660780198;02;CH SPECIALISE LEON JEAN GREGORY;660000092;CENTRE HOSPITALIER LEON JEAN GREGORY;ST;2013
660780271;02;CENTRE HOSPITALIER DE PRADES;660000167;CENTRE HOSPITALIER DE PRADES;ST;2013
660790379;06;SAS MEDIPOLE SAINT ROCH;660004953;CENTRE AUTODIALYSE LE SOLER;ST;2013
660790379;06;SAS MEDIPOLE SAINT ROCH;660004961;CENTRE AUTODIALYSE ARGELES-SUR-MER;ST;2013
660790379;06;SAS MEDIPOLE SAINT ROCH;660004979;AUTODIALYSE SAINT-LAURENT-DE-LA-SALANQUE;ST;2013
660790379;06;SAS MEDIPOLE SAINT ROCH;660005687;UNITE D'AUTODIALYSE DE PRADES;ST;2013
660790379;06;SAS MEDIPOLE SAINT ROCH;660789892;CENTRE D'HEMODIALYSE SAINT-ROCH;ST;2013
670000652;06;AURAL;670002187;CTRE AUTODIALYS AURAL BERGSON;ST;2013
670000652;06;AURAL;670013895;CENTRE D'AUTODIALYSE AURAL SAVERNE;ST;2013
670000652;06;AURAL;670014455;CENTRE D'HEMODIALYSE HAUTEPIERRE AURAL;ST;2013
670000652;06;AURAL;670781574;AURAL SIEGE SOCIAL DE STRASBOURG;ST;2013
670000652;06;AURAL;670795921;UNITE D'AUTODIALYSE AURAL HAGUENAU;ST;2013
670000652;06;AURAL;670799667;CTRE AURAL CL. STE ANNE STRASBOURG;ST;2013
670000652;06;AURAL;680010824;UNITE D AUTODIALYSE AURAL COLMAR;ST;2013
670000652;06;AURAL;680013778;UNITE AUTODIAL AURAL MULHOUSE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;010789006;CENTRE DE DIALYSE FDTSFV DE VIRIAT;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;210001483;AIDER BOURGOGNE- AUTODIALYSE CHATILLON;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;210001889;CENTRE D'HEMODIALYSE CHRONIQUE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;210001939;ESPACE DE LA BREUCHILLIÈRE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;210007555;APPARTEMENT AIDER SAULIEU;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;210010484;FONDATION TRANSPLANTATION DÉLÉG. AIDER;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;210986360;AUTODIALYSE AIDER  DIJON- BOCAGE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;210986378;AIDER BOURGOGNE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;250013448;OSMOSE DIALYSE PONTARLIER;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;250015526;CENTRE DE DIALYSE MEDICALISE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;250015534;CTRE DE DIALYSE MEDICALISE LA LIZAINE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;390786408;OSMOSE FC - UNITE DE DIALYSE DE DOLE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;700003577;OSMOSE FC - POLE DE VESOUL;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;700785058;OSMOSE FC - AUTODIALYSE DE LURE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;710010166;AIDER - CENTRE ALLEGE D'AUTODIALYSE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;710970658;AIDER BOURGOGNE - ANTENNE MACON;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;710971326;A.I.D.E.R. BOURGOGNE MONTCEAU;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;710973504;AIDER BOURGOGNE - ANTENNE CHALON;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;710974502;A.I.D.E.R. BOURGOGNE - AUTO SAINT-REMY;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;710974510;AIDER BOURGOGNE - AUTO MURGERETS;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;710974528;AIDER BOURGOGNE - AUTO CHANAUX;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;890003130;AIDER BOURGOGNE -LES CHAILLOTS-;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;890008295;CENTRE DE DIALYSE -ESPACE DES LAVANDES-;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;890972862;AIDER BOURGOGNE - ANTENNE AUXERRE;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;890973431;AIDER BOURGOGNE - ANTENNE SENS;ST;2013
670005834;06;FONDATION TRANSPLANTATION - FDTSFV;900001728;ESPACE LE SALBERT;ST;2013
670013366;02;EPSAN;670000058;EPSAN BRUMATH;ST;2013
670780055;02;HOPITAUX UNIVERSITAIRES DE STRASBOURG;670000025;CHU DE STRASBOURG /NOUVEL HOPITAL  CIVIL;ST;2013
670780055;02;HOPITAUX UNIVERSITAIRES DE STRASBOURG;670009109;CENTRE CHIR ORTHP ET DE LA MAIN;ST;2013
670780055;02;HOPITAUX UNIVERSITAIRES DE STRASBOURG;670780113;CMCO;ST;2013
670780055;02;HOPITAUX UNIVERSITAIRES DE STRASBOURG;670783133;CHU STRASBOURG/HOP ROBERTSAU PAV SCHUTZENBERGER;ST;2013
670780055;02;HOPITAUX UNIVERSITAIRES DE STRASBOURG;670783273;CHU STRASBOURG / HOP HAUTEPIERRE;ST;2013
670780055;02;HOPITAUX UNIVERSITAIRES DE STRASBOURG;670799550;HUS/SLD DE LA ROBERTSAU-EHPAD;ST;2013
670780063;08;ASS DU CENTRE PAUL STRAUSS;670000033;CRLCC  -PAUL STRAUSS-;ST;2013
670780071;02;HOPITAL LA GRAFENBOURG;670000041;HOPITAL LA GRAFENBOURG;ST;2013
670780337;02;CENTRE HOSPITALIER DE HAGUENAU;670000157;CENTRE HOSPITALIER DE HAGUENAU;ST;2013
670780345;02;CH SAINTE-CATHERINE DE SAVERNE;670000165;CH SAINTE-CATHERINE DE SAVERNE;ST;2013
670780352;02;HOPITAL LOCAL DE BOUXWILLER;670000173;HOPITAL LOCAL DE BOUXWILLER;ST;2013
670780360;02;HOPITAL LOCAL DE SARRE-UNION;670000181;HOPITAL LOCAL DE SARRE-UNION;ST;2013
670780543;02;CH INTERCOMMUNAL DE LA LAUTER;670000272;CH INTERCOMMUNAL DE LA LAUTER;ST;2013
670780584;02;CENTRE HOSPITALIER DÉPARTEMENTAL;670000306;CENTRE HOSPITALIER DÉPARTEMENTAL;ST;2013
670780642;02;HOPITAL LOCAL DE MOLSHEIM;670000348;HOPITAL LOCAL DE MOLSHEIM;ST;2013
670780675;02;HOPITAL LOCAL DE ROSHEIM;670000371;HOPITAL LOCAL DE ROSHEIM;ST;2013
670780691;02;CENTRE HOSPITALIER DE SELESTAT;670000397;CENTRE HOSPITALIER DE SELESTAT;ST;2013
670780709;02;HOPITAL CIVIL D'OBERNAI;670000405;HOPITAL CIVIL D'OBERNAI;ST;2013
670780717;02;HOPITAL LOCAL D'ERSTEIN;670000413;CENTRE HOSPITALIER D'ERSTEIN VILLE (ex HÔPITAL LOCAL);ST;2013
670781152;02;CENTRE HOSPITALIER D'ERSTEIN;670000603;CENTRE HOSPITALIER D'ERSTEIN;ST;2013
680000114;06;DIAVERUM MULHOUSE;680000338;CENTRE DE DIALYSE DIAVERUM;ST;2013
680000171;02;HOPITAL LOCAL DE SIERENTZ;680000031;HOPITAL LOCAL DE SIERENTZ;ST;2013
680000346;02;CENTRE HOSPITALIER DE CERNAY;680000122;CENTRE HOSPITALIER DE CERNAY;ST;2013
680000395;02;CENTRE HOSPITALIER D'ALTKIRCH;680000544;CENTRE HOSPITALIER D'ALTKIRCH;ST;2013
680000411;02;CENTRE HOSPITALIER DE PFASTATT;680000577;CENTRE HOSPITALIER DE PFASTATT;ST;2013
680000437;02;CENTRE HOSPITALIER DE THANN;680000601;CENTRE HOSPITALIER DE THANN;ST;2013
680000486;02;CENTRE HOSPITALIER DE MULHOUSE;680000627;HOPITAL DU  HASENRAIN;ST;2013
680000486;02;CENTRE HOSPITALIER DE MULHOUSE;680004546;CENTRE HOSPITALIER DE MULHOUSE - HOP EMILE MULLER;ST;2013
680000486;02;CENTRE HOSPITALIER DE MULHOUSE;680004553;CENTRE HOSPITALIER MULHOUSE -MAIS MED PERS AGEES;ST;2013
680000973;02;HOPITAUX CIVILS DE COLMAR;680000684;HOPITAL LOUIS PASTEUR;ST;2013
680000973;02;HOPITAUX CIVILS DE COLMAR;680001245;CENTRE MERE ENFANT -LE PARC-;ST;2013
680000973;02;HOPITAUX CIVILS DE COLMAR;680004579;CTRE POUR PERS AGEES COLMAR;ST;2013
